학교명,학교급구분,소재지지번주소,위도,경도
삼일여자고등학교,고등학교,울산광역시 남구 선암동 650-6,35.51635989,129.3171345
광명고등학교,고등학교,부산광역시 영도구 동삼동 226-118,35.08305177,129.0643817
양정고등학교,고등학교,부산광역시 부산진구 양정동 33-33,35.16917158,129.0741918
거제중학교,중학교,경상남도 거제시 아주동 295-8,34.86136835,128.6869533
동부중학교,중학교,경상남도 거제시 동부면 산양리 348,34.82047195,128.607622
송라중학교,중학교,경상북도 포항시 북구 송라면 광천리 184,36.22796784,129.3547085
다사고등학교,고등학교,대구광역시 달성군 다사읍 죽곡리 5-5,35.86201691,128.463011
달서고등학교,고등학교,대구광역시 달성군 하빈면 감문리 815,35.88547296,128.4228632
외포중학교,중학교,경상남도 거제시 장목면 외포리 261-1,34.94429221,128.7178281
남목고등학교,고등학교,울산광역시 동구 서부동 728,35.53813586,129.4182256
성서고등학교,고등학교,대구광역시 달서구 용산동 501-1,35.85969577,128.516043
인천신현초등학교,초등학교,인천광역시 서구 신현동 291,37.51431903,126.6702261
대전배울초등학교,초등학교,대전광역시 유성구 관평동 663,36.42187573,127.3838953
매천고등학교,고등학교,대구광역시 북구 태전동 1127,35.91164878,128.547427
성광고등학교,고등학교,대구광역시 북구 복현동 8-1 성광고등학교,35.90838694,128.6239184
덕현고등학교,고등학교,경기도 양주시 만송동 703,37.79823967,127.0843021
동남고등학교,고등학교,경기도 포천시 소흘읍 송우리 537-1,37.82790595,127.1350994
김해건설공업고등학교,고등학교,경상남도 김해시 구산동 180,35.24069183,128.8759904
김해생명과학고등학교,고등학교,경상남도 김해시 외동 743,35.23669075,128.8554676
밀성제일고등학교,고등학교,경상남도 밀양시 내이동 590-1,35.50268134,128.7505941
화정남초등학교,초등학교,광주광역시 서구 화정동 929-1,35.13810655,126.8721516
광주대성초등학교,초등학교,광주광역시 남구 서동 111,35.14419278,126.9053822
울산경의고등학교,고등학교,울산광역시 울주군 상북면 산전리 435,35.58879051,129.0934918
부일외국어고등학교,고등학교,부산광역시 사하구 감천동 634-61,35.09131792,129.0015624
웅동중학교,중학교,경상남도 창원시 진해구 두동 1166-4,35.11247344,128.7959827
창덕중학교,중학교,경상남도 창원시 의창구 동읍 용잠리 282,35.27744139,128.6893481
창원대산중학교,중학교,경상남도 창원시 의창구 대산면 제동리 280,35.33415986,128.7097485
방산고등학교,고등학교,서울특별시 송파구 방이동 220-5,37.50831315,127.120799
광명서초등학교,초등학교,경기도 광명시 광명동 219,37.47816486,126.846844
광명남초등학교,초등학교,경기도 광명시 광명동 295-58,37.47552515,126.8538613
광명동초등학교,초등학교,경기도 광명시 철산동 78-4,37.48346267,126.8632584
광명북초등학교,초등학교,경기도 광명시 철산동 87,37.48668823,126.868059
광명광성초등학교,초등학교,경기도 광명시 철산동 243,37.47829616,126.8728636
용신초등학교,초등학교,경기도 남양주시 진건읍 신월리 87 용신초등학교,37.66078473,127.1729905
영남공업고등학교,고등학교,대구광역시 수성구 만촌동 1160-3,35.8487255,128.6479938
