상권명,시도명,시군구명,상권좌표수,좌표(경위도)_wgs84
"종각역,젊음의거리",서울특별시,종로구,13,"126.987504391046,37.5700209617918|126.987537510504,37.5684083803005|126.987492966973,37.5683539362649|126.987414102443,37.5683262294971|126.98682529378,37.5683392053058|126.984918526509,37.5687102955936|126.983023426638,37.5690544240629|126.982943217331,37.5691258173315|126.983039702697,37.5695231057427|126.983990597865,37.5695222719198|126.983983509098,37.5700448151475|126.985670377788,37.5700322703286|126.987504391046,37.5700209617918"
종로3가역_1,서울특별시,종로구,6,"126.992187750344,37.5685742624133|126.989032899939,37.5683220637021|126.987855647977,37.5683210004008|126.9878780337,37.5700151510601|126.992006979573,37.5702306389504|126.992187750344,37.5685742624133"
종로3가역_2,서울특별시,종로구,20,"126.991844028294,37.5705626349461|126.988800702802,37.5704285161332|126.988810203078,37.5714017225711|126.988681922249,37.5716799481056|126.988487064342,37.5718584892252|126.988180353257,37.5719369580787|126.98790796417,37.5719886887458|126.987990359931,37.5725930920204|126.988087606696,37.5729363202949|126.987864138831,37.5735561256897|126.987931202603,37.5736197727868|126.988077380338,37.5736931075419|126.988932543796,37.5740788624655|126.989124001208,37.574152583212|126.989417212534,37.5742361840216|126.99010733512,37.5742691132446|126.990875602029,37.5743837992992|126.99189298271,37.5711307089328|126.992011993114,37.5706992236046|126.991844028294,37.5705626349461"
종로3가역_3,서울특별시,종로구,18,"126.991500479226,37.574217934245|126.991677064691,37.5737148573775|126.992150902725,37.5738360336847|126.992294902855,37.5740715321653|126.992688126096,37.5734531649036|126.993195988834,37.5727276476551|126.993266568829,37.5725300195526|126.993473463012,37.5722975104723|126.993725753538,37.572056377039|126.993732955705,37.5706778439157|126.992330135441,37.5706118317447|126.992181170923,37.5707457181573|126.992178382449,37.570952934062|126.991682121995,37.5724984942136|126.991363762306,37.5734418720041|126.9911616236,37.5741609803045|126.991342370805,37.5741895539837|126.991500479226,37.574217934245"
종로5가역_1,서울특별시,종로구,12,"126.999951860564,37.5695232203583|126.998213468424,37.569157094827|126.998019965431,37.5692365487172|126.997939275949,37.5701909699913|126.998141087455,37.5703368473254|126.998488359064,37.5706101027111|126.999935740402,37.5707304812601|127.001587469116,37.5708075160047|127.001735936844,37.5707096551377|127.001813937033,37.5699534377998|127.001713628465,37.569835455191|126.999951860564,37.5695232203583"
종로5가역_2,서울특별시,종로구,15,"126.999336094178,37.5757892641834|126.999562483723,37.5749442010012|126.999800195363,37.5749462125863|126.999814764033,37.5747030545066|127.0006963678,37.5748096252199|127.00198343873,37.5750727904955|127.001808084993,37.5712418795956|127.00163938017,37.571159361091|126.998370470469,37.5709605104798|126.997868335946,37.5712626092137|126.997504469997,37.5756115572443|126.997548542656,37.5757020351814|126.99763837672,37.5757568594824|126.998532634583,37.575764439101|126.999336094178,37.5757892641834"
종로5가역_3,서울특별시,종로구,25,"127.004062783816,37.5736486598229|127.004145134786,37.5734150825482|127.004631748671,37.5734281913773|127.004750929286,37.5729786735332|127.004402545607,37.5727865209565|127.004734636563,37.5725009837338|127.005429896824,37.5721464181598|127.006248188581,37.572756998617|127.006632958689,37.5719132522392|127.006860536781,37.5718250600969|127.007446242858,37.5729022203889|127.008790517363,37.5714087578033|127.008565089547,37.571334783959|127.008406980204,37.571306426536|127.008067765771,37.5712765493967|127.007716635718,37.5712916234217|127.006335708768,37.5712800239437|127.005611527635,37.5712559136668|127.003087737473,37.5712076258843|127.002057824378,37.571189925563|127.00215304378,37.5733892732392|127.002265144606,37.5760212627471|127.00269517605,37.5760339020569|127.003201835035,37.5745424455133|127.004062783816,37.5736486598229"
종로5가역_4,서울특별시,종로구,23,"126.997137786181,37.5708689655828|126.996481647813,37.5708363661215|126.996386840498,37.5719979058169|126.996686422375,37.5724509699773|126.996852590115,37.5727226928505|126.996851383279,37.5728127868219|126.996838374411,37.5729388223219|126.996593909263,37.5734413310284|126.996487447218,37.5737828232455|126.996226102106,37.5746996670287|126.996213333324,37.5748076836154|126.996074720411,37.5750137460826|126.995843374995,37.5753812081667|126.995814211369,37.5758675229009|126.995705687844,37.5763621737798|126.996445580552,37.576062103515|126.997025784611,37.575850777903|126.997162948626,37.5757528270544|126.997255074773,37.5756364731648|126.997335297899,37.5747180910247|126.997442982298,37.5734395247688|126.99760799808,37.5712604019473|126.997137786181,37.5708689655828"
종로구청,서울특별시,종로구,32,"126.982777475269,37.5704939743908|126.982462260645,37.5703651156945|126.981737609453,37.5703768966271|126.981058478676,37.5703710446639|126.979541508468,37.5703759798828|126.979381448604,37.5704917334038|126.979357974325,37.5713835614525|126.979332534568,37.572419538939|126.979932081357,37.5724517454351|126.98014628646,37.5725166665758|126.97995634407,37.5731637771191|126.979862230729,37.5734242667902|126.979712502023,37.5736121930856|126.979398775947,37.5742041716405|126.97944122951,37.5744117775282|126.97861392667,37.5744767151542|126.978679631568,37.5746394701748|126.979035590255,37.5751020758665|126.979403364121,37.5755287408723|126.979548800253,37.5756561421645|126.979728564136,37.5757568083665|126.979999867692,37.5757861810021|126.980283104606,37.5757706039373|126.981973409081,37.5755148614243|126.982268576551,37.5754543303011|126.982691319289,37.5751696362706|126.98275660695,37.5745304591662|126.982773800988,37.5740981075073|126.982862643168,37.5725580918317|126.98290443188,37.5719817850337|126.982866313208,37.5706208846253|126.982777475269,37.5704939743908"
종묘앞_1,서울특별시,중구,8,"126.996440413572,37.5688447120736|126.995592359392,37.5687744366777|126.995400586114,37.5704127044723|126.99722148234,37.570536289881|126.997735295051,37.5702072615855|126.997851992668,37.5690999684631|126.997762648561,37.5690091067548|126.996440413572,37.5688447120736"
종묘앞_2,서울특별시,종로구,5,"126.995535766124,37.568773955822|126.99509458043,37.5687521854196|126.994934380972,37.5697239494253|126.995398089086,37.5697549222833|126.995535766124,37.568773955822"
